,0,1
243,1.0588692687579555e-05,5.623855123252371e-06
244,1.2006014845901492e-05,6.156565765743411e-06
245,1.4265741054870185e-05,7.475425873044849e-06
246,2.8512411420872125e-06,7.306890402900521e-06
247,1.2929000253074074e-05,5.184475329726592e-06
248,1.1240143579911226e-05,6.67351830503974e-06
249,1.01983549572794e-05,7.813381281216988e-06
250,1.3220779830105749e-05,7.3846010815762674e-06
251,1.416186291491452e-05,4.607330278522193e-06
252,1.5542075206953744e-05,5.811940294783985e-06
253,9.482729148751492e-06,5.334676372843973e-06
254,9.97734283882276e-06,7.573183769475157e-06
255,1.1934042016961394e-05,5.871168030338195e-06
256,1.1212056729526828e-05,6.136479760458225e-06
257,1.3497229501729283e-05,2.9065298937873035e-06
258,1.5553523452360106e-05,4.282555134552311e-06
259,1.3256433163015212e-05,6.939548405731017e-06
260,1.3098706409901244e-05,4.4627187289716694e-06
261,1.441596302775324e-05,4.177349626523021e-06
262,7.226837930780123e-06,6.053616196655746e-06
263,3.619555491093191e-06,3.434394037053681e-07
264,1.4560306394909305e-05,7.040560664734013e-06
265,6.3398004003198985e-06,5.025491938069782e-06
266,1.1357732641211966e-05,6.5559445654466735e-06
267,2.6118677819527683e-06,5.337817075846608e-06
268,1.3896193153411512e-05,6.68765583557155e-06
269,1.4998887344166668e-05,7.869871140496775e-06
270,1.0583232789040584e-05,8.212941111699493e-06
271,1.0058555854969293e-05,6.085436675253421e-06
272,1.1328439245403486e-05,5.510342639887192e-06
273,1.4898886066274467e-05,6.8686324050864155e-06
274,1.1791006475248587e-05,7.825869871627695e-06
275,1.3235380850651642e-05,7.513423604843488e-06
276,1.3304894514684004e-05,7.1275816555372995e-06
277,7.840090739833929e-06,7.301433129687201e-06
278,6.178419239633414e-06,4.890800106075022e-06
279,1.2416155970265343e-05,7.37375332377342e-06
280,1.1236827767239944e-05,7.519931740580238e-06
281,1.162943120528752e-05,7.086527921535384e-06
282,7.859213176085654e-06,3.193947621240136e-06
283,1.3124149098765786e-05,5.630829434471291e-06
284,1.4643387075868513e-05,6.465611894840328e-06
285,1.307548560017906e-05,5.930480302233993e-06
286,1.3760834289748706e-05,1.4469902248283501e-06
287,1.4603258666790863e-05,1.7781360643709936e-06
288,1.3666196507230914e-05,5.630404310571128e-06
289,1.3031179378554292e-05,5.282260419360873e-06
290,9.140607494293497e-06,7.395914510312363e-06
291,1.014194333778138e-05,2.2814514876834687e-06
292,1.2870745905032795e-05,6.657209208049274e-06
293,1.3577309707681685e-05,7.637486025115438e-06
294,1.0491139541936391e-05,6.505221110613151e-06
295,1.3037545050478093e-05,7.728237243088792e-06
296,1.1773917907227766e-05,7.4517814749373486e-06
297,1.2225327726099563e-05,5.73161485233348e-06
298,1.2624098365959497e-05,6.182916846679178e-06
299,5.450622860809407e-06,5.559324691500138e-06
300,1.1736835333683617e-05,5.5411667324595006e-06
301,1.4700113307357413e-05,5.762231117026173e-06
302,1.5426931912731836e-05,6.903966626809107e-06
303,6.047964541858071e-06,4.536886575323158e-06
304,1.3743385759131131e-05,7.072419525060066e-06
305,1.1564868578119584e-05,8.110765885928176e-06
306,1.4533009465869011e-05,7.179030504432214e-06
307,1.2935469787511532e-05,7.956584810210074e-06
308,1.1450082838395506e-05,5.066234701042848e-06
309,1.3370348191993818e-05,6.669600632341634e-06
310,1.3513193011568738e-05,6.756681543081082e-06
311,1.2888255942414964e-05,7.217747718957681e-06
312,1.3651409815106406e-05,6.956032725113558e-06
313,1.4155098409975822e-05,2.8763040184858863e-06
314,1.4822008285128725e-05,6.926880849797105e-06
315,1.297012494502757e-05,7.971023640474737e-06
316,1.0023401351877252e-05,6.211563892814628e-06
317,1.3502762239573845e-05,7.253702740383761e-06
318,1.330969527771299e-05,4.8377547208887296e-06
319,1.4503893795639978e-05,3.0544538853268836e-06
320,1.4003304999336006e-05,5.2062970006458725e-06
321,4.618622138524236e-06,4.872748867597838e-06
322,1.301157448225432e-05,5.9234687375320905e-06
323,1.2584892502678692e-05,5.654190584413567e-06
324,1.315057827459427e-05,5.916496873573347e-06
325,1.4283684217352996e-05,7.3673658272100385e-06
326,1.3828215616557551e-05,5.561366151636609e-06
327,1.39178021310335e-05,5.137388494485099e-06
328,1.4791392125236725e-05,5.888362578532635e-06
329,1.2283668617676803e-05,6.034336929031675e-06
330,1.4611182123303627e-05,2.0727199767504777e-06
331,4.98956207356583e-06,7.1143457794535946e-06
332,1.2266314952694917e-05,7.524468969492204e-06
333,1.3648971572198567e-05,7.6343156161338e-06
334,8.73373877002851e-06,7.311936852616771e-06
335,1.5045054687999967e-05,6.928627869073957e-06
336,4.957990517304606e-06,5.103407498277737e-06
337,6.376243770456198e-06,7.1881144517777845e-06
338,1.1896995790758144e-05,6.399650417045603e-06
339,1.3102696609953953e-05,6.800174232886191e-06
340,9.334837717111443e-06,4.0117551292786955e-06
341,1.5050594294411937e-05,7.327816059211856e-06
342,1.301097594766489e-05,6.236392283111594e-06
343,1.558984231306121e-05,6.77370778336751e-06
344,1.0362295826579488e-06,5.044294692544936e-06
345,1.0354911499382933e-05,5.594157364472412e-06
346,1.1655812301130622e-05,6.049053938683221e-06
347,1.4214429208226123e-05,5.031547830047632e-06
348,1.1493594708018855e-05,5.274281011278578e-06
349,1.465893427934491e-05,6.253799625136448e-06
350,1.035755282836395e-05,3.4591214142995045e-06
351,1.392938347018283e-05,6.889311702513199e-06
352,1.2295076848173109e-05,5.762574175322248e-06
353,1.4929105860443376e-05,5.495352377662701e-06
354,1.3641176030347786e-05,4.811009374081257e-06
355,9.786963638538313e-06,6.444924641675373e-06
356,1.0508122287397297e-05,6.613007293163118e-06
357,4.884095039890113e-06,3.966592406795642e-06
358,1.3113294997126226e-05,6.924824686592777e-06
359,1.102416199787049e-05,5.218187321897293e-06
360,1.1934363099266357e-05,8.11923797499846e-06
361,1.0732615692854127e-05,2.7777563467791057e-06
362,6.162592793509517e-06,6.917038995050821e-06
363,8.768953233677715e-06,7.94178272045333e-06
364,1.1407683930923376e-05,4.9285547254647624e-06
365,1.3045938467623133e-05,5.708850726134011e-06
366,1.3240851471777832e-05,6.802032988862921e-06
367,1.3337003685154657e-05,5.24141103044893e-06
368,1.4947707974662037e-05,6.139001229270027e-06
369,1.0939247146261994e-05,6.558683928195606e-06
370,1.2399956240041429e-05,7.949634630286998e-06
371,1.305072703299887e-05,6.8329541128884055e-06
372,9.578288365165946e-06,6.963801487709576e-06
373,6.99376175858749e-06,5.409350684878067e-06
374,6.614353648799472e-06,4.525090282622041e-06
375,7.797570392687628e-06,6.895694815406915e-06
376,1.215771964690382e-05,5.318038660769718e-06
377,1.255863987149659e-05,7.17398270766669e-06
378,1.516613619068726e-05,6.739752375515074e-06
379,9.91502104442844e-06,4.87372440393289e-06
380,6.513686428826022e-06,6.11319050093449e-06
381,1.3750099959968809e-05,6.789550688327847e-06
382,1.3325703110595557e-05,5.376321528308775e-06
383,1.322806988317183e-05,5.145327961496508e-06
384,1.1528311725683754e-05,5.860116199720969e-06
385,1.2685275350108404e-05,5.246461099010198e-06
